freq_band,lda_shrinkage,n_csp_components,time_window,mean_accuracy,n_subjects
"[7, 30]",,2,"[1.0, 4.0]",0.5466666666666666,5
"[4, 40]",0.5,2,"[0.5, 4.0]",0.5466666666666666,5
"[7, 30]",auto,2,"[1.0, 4.0]",0.5466666666666666,5
"[7, 30]",0.5,2,"[0.5, 4.0]",0.5466666666666666,5
"[7, 30]",auto,2,"[0.5, 4.0]",0.5422222222222223,5
"[4, 40]",,2,"[1.0, 4.0]",0.5377777777777778,5
"[4, 40]",0.1,2,"[0.5, 4.0]",0.5288888888888889,5
"[4, 40]",,2,"[0.5, 4.0]",0.5288888888888889,5
"[4, 40]",0.5,4,"[1.0, 4.0]",0.5288888888888887,5
"[7, 30]",0.5,2,"[1.0, 4.0]",0.5244444444444445,5
"[4, 40]",0.1,2,"[1.0, 4.0]",0.5200000000000001,5
"[4, 40]",auto,2,"[1.0, 4.0]",0.5111111111111111,5
"[4, 40]",0.5,2,"[1.0, 4.0]",0.5066666666666666,5
